"Model","Accuracy","F1","ROC_AUC","PR_AUC"
"stack_glm",0.903314917127072,0.948148148148148,0.984598214285714,0.997908223440697
"gbm",0.94475138121547,0.969604863221884,0.962723214285714,0.994674821785651
"glmnet",0.941988950276243,0.967840735068913,0.953794642857143,0.992945785514256
"rf",0.906077348066298,0.949554896142433,0.931510416666667,0.988230311530142
